 Task Name,Task Content,Due Date Text,Status
Explain enough background for someone unfamiliar with the domain.,,,to do
Ensure writing is clear and professional.,,,complete
Compile all APA-formatted references from the document.,,,to do
"System Requirements, Specifications & Technical Design Document Submission",,"9/6/2025, 4:00:00 AM GMT+2",to do
System Presentation,,"10/25/2025, 4:00:00 AM GMT+2",to do
List the specific problems our software will solve.,,,to do
Describe the key problems or opportunities.,,,complete
"Define deliverables, milestones, and deadlines.",,,to do
Keep each point clear and actionable.,,,to do
Proofread & Format,,,to do
"Specify whether it’s desktop, web, or mobile-based.",,,complete
List possible system screens/functions.,,,complete
Find and reference credible sources (APA style).,,,to do
Write Problem Domain Section,,"8/13/2025, 4:00:00 AM GMT+2",complete
Ensure it’s detailed enough for someone with no prior knowledge.,,,complete
Write Introduction,,,to do
Check Requirements,,"8/13/2025, 4:00:00 AM GMT+2",complete
Write Proposed Solution Section,"{""ops"":[{""insert"":""\n"",""attributes"":{""block-id"":""block-aa56504b-070b-4786-82e5-9a045ff8656f""}}]}","8/14/2025, 4:00:00 AM GMT+2",complete
Describe what the system will do and how.,,,complete
Implementation Document Submission,,,to do
Explain the purpose of the Business Case.,,,to do
"Include domain, location, and who is affected.",,,to do
Share with the team for review.,,,to do
Section 1.2 – Project Objectives,,,to do
Section 1.7 – References,,,to do
Explain how each will be handled.,,,to do
Section 1.3 – Problem Background,,,to do
Create a Gantt chart for task scheduling.,,,to do
Final Submission,,,to do
Cover Page,This cover page will be attached to the final document.,,complete
Research project domain,,"8/13/2025, 4:00:00 AM GMT+2",complete
Explain the real-world context of the project.,,,complete
Submit by the agreed deadline.,,,to do
Business Case Submission,"We need to create the Business Case document for our project. This will clearly define the real-world problem, outline our objectives, present related research, compare existing systems, and set out our initial project plan and risk analysis. This document should be detailed enough to convince a potential backer or stakeholder of the value of our solution.","8/22/2025, 5:00:00 PM GMT+2",in progress
Section 1.5 – Project Plan,,,to do
Submit before the Friday deadline.,,,complete
Identify at least 3 similar or related systems.,,,to do
Proposal Submission,"We need to complete our Project Proposal document for SplashScreen by Friday. This document should clearly explain the problem domain and outline our proposed solution, following the given template. The goal is to present a clear idea of what system we’re developing, why it’s needed, and the basic features we plan to include.","8/15/2025, 5:00:00 PM GMT+2",complete
Check all figures and captions.,,,to do
Section 1.6 – Risk Analysis,,,to do
Share with team for final check.,,,complete
Include roles and dependencies.,,,to do
Summarize what the document will cover.,,,to do
Section 1.1 – Problem Statement,,,to do
"Categorize them (acceptable, avoidable, minimizable, transferable).",,,to do
Proofread & Format Document,,"8/15/2025, 4:00:00 AM GMT+2",complete
Final Review & Submission,,"8/15/2025, 4:00:00 AM GMT+2",complete
Mention technologies we might use.,,,complete
Section 1.4 – Related Systems Analysis,,,to do
Format according to the template.,,,complete
Identify at least 4 potential risks.,,,to do
Describe the real-world problem in detail (not just lack of software).,,,to do
Ensure consistency and correct formatting.,,,to do
Final Review & Submission,,,to do
List features to adopt and avoid.,,,to do
Match project specifications with project domain,,"8/13/2025, 4:00:00 AM GMT+2",complete
"Include name, platform, description, screenshot(s), and references.",,,to do
Conduct a brief literature review.,,,to do
