title,body,labels,assignees
Explain enough background for someone unfamiliar with the domain.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Ensure writing is clear and professional.,"**Status:** complete
**Due Date:** nan

---
nan",complete,
Compile all APA-formatted references from the document.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
"System Requirements, Specifications & Technical Design Document Submission","**Status:** to do
**Due Date:** 9/6/2025, 4:00:00 AM GMT+2

---
nan",to do,
System Presentation,"**Status:** to do
**Due Date:** 10/25/2025, 4:00:00 AM GMT+2

---
nan",to do,
List the specific problems our software will solve.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Describe the key problems or opportunities.,"**Status:** complete
**Due Date:** nan

---
nan",complete,
"Define deliverables, milestones, and deadlines.","**Status:** to do
**Due Date:** nan

---
nan",to do,
Keep each point clear and actionable.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Proofread & Format,"**Status:** to do
**Due Date:** nan

---
nan",to do,
"Specify whether it’s desktop, web, or mobile-based.","**Status:** complete
**Due Date:** nan

---
nan",complete,
List possible system screens/functions.,"**Status:** complete
**Due Date:** nan

---
nan",complete,
Find and reference credible sources (APA style).,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Write Problem Domain Section,"**Status:** complete
**Due Date:** 8/13/2025, 4:00:00 AM GMT+2

---
nan",complete,
Ensure it’s detailed enough for someone with no prior knowledge.,"**Status:** complete
**Due Date:** nan

---
nan",complete,
Write Introduction,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Check Requirements,"**Status:** complete
**Due Date:** 8/13/2025, 4:00:00 AM GMT+2

---
nan",complete,
Write Proposed Solution Section,"**Status:** complete
**Due Date:** 8/14/2025, 4:00:00 AM GMT+2

---
{""ops"":[{""insert"":""\n"",""attributes"":{""block-id"":""block-aa56504b-070b-4786-82e5-9a045ff8656f""}}]}",complete,
Describe what the system will do and how.,"**Status:** complete
**Due Date:** nan

---
nan",complete,
Implementation Document Submission,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Explain the purpose of the Business Case.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
"Include domain, location, and who is affected.","**Status:** to do
**Due Date:** nan

---
nan",to do,
Share with the team for review.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Section 1.2 – Project Objectives,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Section 1.7 – References,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Explain how each will be handled.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Section 1.3 – Problem Background,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Create a Gantt chart for task scheduling.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Final Submission,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Cover Page,"**Status:** complete
**Due Date:** nan

---
This cover page will be attached to the final document.",complete,
Research project domain,"**Status:** complete
**Due Date:** 8/13/2025, 4:00:00 AM GMT+2

---
nan",complete,
Explain the real-world context of the project.,"**Status:** complete
**Due Date:** nan

---
nan",complete,
Submit by the agreed deadline.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Business Case Submission,"**Status:** in progress
**Due Date:** 8/22/2025, 5:00:00 PM GMT+2

---
We need to create the Business Case document for our project. This will clearly define the real-world problem, outline our objectives, present related research, compare existing systems, and set out our initial project plan and risk analysis. This document should be detailed enough to convince a potential backer or stakeholder of the value of our solution.",in progress,
Section 1.5 – Project Plan,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Submit before the Friday deadline.,"**Status:** complete
**Due Date:** nan

---
nan",complete,
Identify at least 3 similar or related systems.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Proposal Submission,"**Status:** complete
**Due Date:** 8/15/2025, 5:00:00 PM GMT+2

---
We need to complete our Project Proposal document for SplashScreen by Friday. This document should clearly explain the problem domain and outline our proposed solution, following the given template. The goal is to present a clear idea of what system we’re developing, why it’s needed, and the basic features we plan to include.",complete,
Check all figures and captions.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Section 1.6 – Risk Analysis,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Share with team for final check.,"**Status:** complete
**Due Date:** nan

---
nan",complete,
Include roles and dependencies.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Summarize what the document will cover.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Section 1.1 – Problem Statement,"**Status:** to do
**Due Date:** nan

---
nan",to do,
"Categorize them (acceptable, avoidable, minimizable, transferable).","**Status:** to do
**Due Date:** nan

---
nan",to do,
Proofread & Format Document,"**Status:** complete
**Due Date:** 8/15/2025, 4:00:00 AM GMT+2

---
nan",complete,
Final Review & Submission,"**Status:** complete
**Due Date:** 8/15/2025, 4:00:00 AM GMT+2

---
nan",complete,
